Local,Categoria,P,Trocas,R,Disputa,Check-ins
Frank Lloyd Wright Robie House,History Museum,0,0.0,0,0.0,0,
Fourth Presbyterian Church,Church,0,0.0,0,0.0,180,
Forman Mills,Clothing Store,0,0.0,0,0.0,0,
Fitness Formula Club Ffc,Gym,0,0.0,0,0.0,52,
First Paradise Mb Church,Church,0,0.0,0,0.0,17,
First Aid Comics,Bookstore,0,0.0,0,0.0,43,
Firestone Complete Auto Care,Automotive Shop,0,0.0,0,0.0,1,
Federal Reserve Bank Of Chicago,Government Building,0,0.0,0,0.0,135,
Fairplay Food Liquor,Grocery Store,0,0.0,0,0.0,2,
Equilibrium Health Wellness,Doctor's Office,0,0.0,0,0.0,0,
Einstein Bros Bagels,Bagel Shop,0,0.0,0,0.0,40,
Direct Repair Inc,Mobile Phone Shop,0,0.0,0,0.0,0,
Dilly Lily,Flower Shop,0,0.0,0,0.0,0,
Dianas Food Mart,Deli / Bodega,0,0.0,0,0.0,0,
Dermatology Aesthetics Of Wicker Park,Doctor's Office,0,0.0,0,0.0,18,
Depaul University Lewis Center,Law School,0,0.0,0,0.0,1,
Depaul University,University,0,0.0,0,0.0,0,
Depaul Center,University,0,0.0,0,0.0,39,
De Paul University,University,0,0.0,0,0.0,461,
David Barton Gym,Gym,0,0.0,0,0.0,6,
Dairy Queen,Ice Cream Shop,0,0.0,0,0.0,0,
Cycle Smithy,Bike Shop,0,0.0,0,0.0,0,
Cta Bus Stop 1106,Bus Stop,0,0.0,0,0.0,0,
Cta Bus Stop 1097,Bus Stop,0,0.0,0,0.0,27,
Costco Wholesale,Warehouse Store,0,0.0,0,0.0,4,
Cosi,Sandwich Place,0,0.0,0,0.0,35,
Consulado Colombiano,Cultural Center,0,0.0,0,0.0,0,
Concord Mb Church,Church,0,0.0,0,0.0,4,
Cold Stone Creamery,Ice Cream Shop,0,0.0,0,0.0,0,
Clark Gas Station,Gas Station,0,0.0,0,0.0,4,
City Church Chicago,Church,0,0.0,0,0.0,52,
Chuck E Cheeses,Arcade,0,0.0,0,0.0,4,
Chocolate Hill,Dessert Shop,0,0.0,0,0.0,36,
Childrens Memorial Outpatient Center,Hospital,0,0.0,0,0.0,0,
Chicago Union Station,Train Station,0,0.0,0,0.0,42,
Chicago Social Beach Volleyball League,Beach,0,0.0,0,0.0,21,
Chicago Public Library Water Works Branch,Library,0,0.0,0,0.0,3,
Chicago Public Library,Library,0,0.0,0,0.0,12,
